"","EPU","zoo_name","season","year","anom1"
"214","GB","Small","summer",2016,0.219781175337345
"215","GB","Small","summer",2017,-0.0183517242583399
"216","GB","Small","summer",2018,-0.0354992810988165
"217","GB","Small","summer",1977,0.216818171188971
"218","GB","Small","summer",1978,-0.0686002290720064
"219","GB","Small","summer",1979,0.0162988247495612
"220","GB","Small","summer",1980,-0.237486687870311
"221","GB","Small","summer",1981,-0.0448722927897163
"222","GB","Small","summer",1982,-0.340426192410843
"223","GB","Small","summer",1983,-0.160642587407082
"224","GB","Small","summer",1984,-0.0666769733495587
"225","GB","Small","summer",1985,-0.208276855552405
"226","GB","Small","summer",1986,0.135538212381071
"227","GB","Small","summer",1987,-0.367809129237747
"228","GB","Small","summer",1988,-0.26662271285946
"229","GB","Small","summer",1991,0.0830224571480795
"230","GB","Small","summer",1992,0.0642980472792692
"231","GB","Small","summer",1994,-0.101381302742265
"232","GB","Small","summer",1995,0.0142492329408529
"233","GB","Small","summer",1996,0.394400707311886
"234","GB","Small","summer",1997,0.405850802911474
"235","GB","Small","summer",1998,0.388274646253846
"236","GB","Small","summer",1999,0.12493348840298
"237","GB","Small","winter",2000,-0.100841518609876
"238","GB","Small","winter",2001,0.0991214868118887
"239","GB","Small","winter",2002,-0.658245763193071
"240","GB","Small","winter",2003,-0.481325328687962
"241","GB","Small","winter",2004,-0.828612931446471
"242","GB","Small","winter",2005,-0.600795225705499
"243","GB","Small","winter",2006,-1.00586831545615
"244","GB","Small","winter",2007,-0.25955277556071
"245","GB","Small","winter",2008,-0.599990149860356
"246","GB","Small","winter",2009,-0.939306077583845
"247","GB","Small","winter",2010,-0.750565689346055
"248","GB","Small","winter",2011,-0.0799616949910343
"249","GB","Small","winter",2012,-0.540314685871939
"250","GB","Small","winter",2013,0.0977546905548076
"251","GB","Small","winter",2017,0.160478789893414
"252","GB","Small","winter",1977,-0.227957084077685
"253","GB","Small","winter",1978,-0.678193766187844
"254","GB","Small","winter",1979,0.199489999543982
"255","GB","Small","winter",1980,-0.079942274571749
"256","GB","Small","winter",1981,-0.256882844486526
"257","GB","Small","winter",1982,0.497464808809748
"258","GB","Small","winter",1983,-0.121479054881175
"259","GB","Small","winter",1984,-0.312110305417153
"260","GB","Small","winter",1985,-0.0424902380254508
"261","GB","Small","winter",1986,-0.396233872572413
"262","GB","Small","winter",1987,-0.697505709555131
"263","GB","Small","winter",1988,0.336813333994129
"264","GB","Small","winter",1989,0.118924501192189
"265","GB","Small","winter",1990,0.178626704631739
"266","GB","Small","winter",1991,0.272257830057789
"267","GB","Small","winter",1992,0.0302576013356912
"268","GB","Small","winter",1993,0.22726000142853
"269","GB","Small","winter",1994,0.372168037865317
"270","GB","Small","winter",1995,-0.106301079623952
"271","GB","Small","winter",1996,0.0966589836066842
"272","GB","Small","winter",1997,0.188453227035061
"273","GB","Small","winter",1998,-0.0471797488131212
"274","GB","Small","winter",1999,0.198984392691455
"275","GB","Small","fall",2000,0.227267299833875
"276","GB","Small","fall",2001,-0.258783062401792
"277","GB","Small","fall",2002,-0.126503404564727
"278","GB","Small","fall",2003,-0.237269803133464
"279","GB","Small","fall",2004,-0.335097063458627
"280","GB","Small","fall",2005,-0.730577384669836
"281","GB","Small","fall",2006,-0.19705332310991
"282","GB","Small","fall",2007,-0.230491701520726
"283","GB","Small","fall",2008,-0.306858102448505
"284","GB","Small","fall",2009,-0.293098222518126
"285","GB","Small","fall",2010,-0.321376102584554
"286","GB","Small","fall",2011,-0.109574090740006
"287","GB","Small","fall",2012,-0.296319478125857
"288","GB","Small","fall",2013,-0.276837350393768
"289","GB","Small","fall",2014,0.092102832750763
"290","GB","Small","fall",2015,0.15177705307927
"291","GB","Small","fall",2016,-0.551025142728719
"292","GB","Small","fall",2017,0.0495926718308566
"293","GB","Small","fall",2018,-0.159807729902125
"294","GB","Small","fall",1977,0.251524551062173
"295","GB","Small","fall",1978,0.30663442058842
"296","GB","Small","fall",1979,0.129603442244993
"297","GB","Small","fall",1980,-0.00236811238474726
"298","GB","Small","fall",1981,0.0611479602282324
"299","GB","Small","fall",1982,0.0757316861728892
"300","GB","Small","fall",1983,-0.0638902414327293
"301","GB","Small","fall",1984,-0.164248680069158
"302","GB","Small","fall",1985,0.0929473270016801
"303","GB","Small","fall",1986,-0.275723750152647
"304","GB","Small","fall",1987,-0.100377757948185
"305","GB","Small","fall",1988,0.0811873031458872
"306","GB","Small","fall",1989,0.253252811028879
"307","GB","Small","fall",1990,0.246243149236106
"308","GB","Small","fall",1991,-0.0575633009699612
"309","GB","Small","fall",1992,-0.105497422594845
"310","GB","Small","fall",1993,0.293281870633961
"311","GB","Small","fall",1994,0.231571697440451
"312","GB","Small","fall",1995,-0.0420000446077677
"313","GB","Small","fall",1996,0.333517434735314
"314","GB","Small","fall",1997,0.288080138107987
"315","GB","Small","fall",1998,0.255089963917091
"316","GB","Small","fall",1999,-0.0146475434033053
"317","GOM","Large","spring",2000,0.439485096856317
"318","GOM","Large","spring",2001,0.449406670328702
"319","GOM","Large","spring",2002,-0.560810616672336
"320","GOM","Large","spring",2003,0.087062748720372
"321","GOM","Large","spring",2004,-0.0702369116101128
"322","GOM","Large","spring",2005,-0.414185683283366
"323","GOM","Large","spring",2006,-0.265963329333221
"324","GOM","Large","spring",2007,-0.0197965416982562
"325","GOM","Large","spring",2008,-0.239334464577723
"326","GOM","Large","spring",2009,0.127402970448672
"327","GOM","Large","spring",2010,0.48242183691405
"328","GOM","Large","spring",2011,0.173228314227045
"329","GOM","Large","spring",2012,0.214720634758667
"330","GOM","Large","spring",2013,-0.0193836372976922
"331","GOM","Large","spring",2014,-0.0856192681277027
"332","GOM","Large","spring",2015,0.593109381906475
"333","GOM","Large","spring",2016,0.797811339688065
"334","GOM","Large","spring",2017,0.681169874669529
"335","GOM","Large","spring",2018,0.65854354915554
"336","GOM","Large","spring",1977,0.0709876193820045
"337","GOM","Large","spring",1978,0.0327589075262362
"338","GOM","Large","spring",1979,0.179180010351472
"339","GOM","Large","spring",1980,-0.536136530542339
"340","GOM","Large","spring",1981,0.353530876179992
"341","GOM","Large","spring",1982,-0.233717960647116
"342","GOM","Large","spring",1983,-0.192736681461591
"343","GOM","Large","spring",1984,-0.0546011769449956
"344","GOM","Large","spring",1985,-0.575486302780026
"345","GOM","Large","spring",1986,-0.308657291902989
"346","GOM","Large","spring",1987,0.444122318540076
"347","GOM","Large","spring",1988,-0.704860565457331
"348","GOM","Large","spring",1990,-0.702863342591799
"349","GOM","Large","spring",1992,-0.288844153404965
"350","GOM","Large","spring",1993,0.0313420079169218
"351","GOM","Large","spring",1994,-0.396670879907262
"352","GOM","Large","spring",1995,0.287089984315524
"353","GOM","Large","spring",1996,0.4128273735612
"354","GOM","Large","spring",1997,-0.00900336079354571
"355","GOM","Large","spring",1998,-0.00819134286840898
"356","GOM","Large","spring",1999,-0.0300210659800397
"357","GOM","Large","summer",2000,0.0436297887697219
"358","GOM","Large","summer",2001,0.0856061931802671
"359","GOM","Large","summer",2002,0.110282193361235
"360","GOM","Large","summer",2003,0.231431888350595
"361","GOM","Large","summer",2004,0.171228140139079
"362","GOM","Large","summer",2005,-0.292919622451797
"363","GOM","Large","summer",2006,-0.164843138274638
"364","GOM","Large","summer",2007,-0.0113288212525457
"365","GOM","Large","summer",2008,-0.0753065069898792
"366","GOM","Large","summer",2009,0.0181866074725396
"367","GOM","Large","summer",2010,-0.263542636436315
"368","GOM","Large","summer",2011,0.0836621677064173
"369","GOM","Large","summer",2012,-0.26712266515556
"370","GOM","Large","summer",2013,0.0487833674993871
"371","GOM","Large","summer",2015,0.47891456694034
"372","GOM","Large","summer",2016,0.196165270817807
"373","GOM","Large","summer",2017,0.0379693142627249
"374","GOM","Large","summer",2018,0.127404356297969
"375","GOM","Large","summer",1977,0.280217614841657
"376","GOM","Large","summer",1978,0.0757200744582949
"377","GOM","Large","summer",1979,-0.00030808550006042
"378","GOM","Large","summer",1980,0.353783587483836
"379","GOM","Large","summer",1981,-0.0745985064407715
"380","GOM","Large","summer",1982,0.0930615397914722
"381","GOM","Large","summer",1983,-0.335977897791892
"382","GOM","Large","summer",1984,-0.302985457776311
"383","GOM","Large","summer",1985,-0.232974961321828
"384","GOM","Large","summer",1986,-0.0102962285536133
"385","GOM","Large","summer",1987,-0.142350627475166
"386","GOM","Large","summer",1988,-0.887879172393315
"387","GOM","Large","summer",1991,0.0697740471861974
"388","GOM","Large","summer",1992,0.128083560821918
"389","GOM","Large","summer",1994,0.00276290164076372
"390","GOM","Large","summer",1995,-0.159124152929445
"391","GOM","Large","summer",1996,-0.257475648868355
"392","GOM","Large","summer",1997,0.187889323761812
"393","GOM","Large","summer",1998,-0.367529021812483
"394","GOM","Large","summer",1999,0.195626443522475
"395","GOM","Large","winter",2002,0.594957682758859
"396","GOM","Large","winter",2003,0.310522198077818
"397","GOM","Large","winter",2004,0.96092079368977
"398","GOM","Large","winter",2005,0.452399273927085
"399","GOM","Large","winter",2006,0.262234545189265
"400","GOM","Large","winter",2007,0.168611006687216
"401","GOM","Large","winter",2008,0.551648429316017
"402","GOM","Large","winter",2009,0.297993025148711
"403","GOM","Large","winter",2010,-0.216012055186377
"404","GOM","Large","winter",2011,-0.274521610280158
"405","GOM","Large","winter",2012,0.00959661715188673
"406","GOM","Large","winter",2013,-0.336627294121772
"407","GOM","Large","winter",2017,-0.0321434531694834
"408","GOM","Large","winter",1977,-0.0772008095461989
"409","GOM","Large","winter",1978,-0.0752090471162215
"410","GOM","Large","winter",1979,-0.0245956086697021
"411","GOM","Large","winter",1980,-0.212757981302378
"412","GOM","Large","winter",1981,-0.222292281655971
"413","GOM","Large","winter",1982,0.299599627144705
"414","GOM","Large","winter",1983,0.462451218063123
"415","GOM","Large","winter",1984,0.304576875537527
"416","GOM","Large","winter",1985,0.438145970289145
"417","GOM","Large","winter",1986,0.245550913810453
"418","GOM","Large","winter",1987,0.539235441363231
"419","GOM","Large","winter",1988,0.143574341457124
"420","GOM","Large","winter",1989,-0.338056593873808
"421","GOM","Large","winter",1990,-0.561122245598797
"422","GOM","Large","winter",1991,-0.62788182027496
"423","GOM","Large","winter",1992,-0.775815054541727
"424","GOM","Large","winter",1993,-0.710494429609709
"425","GOM","Large","winter",1994,-0.697368461668105
"426","GOM","Large","winter",1995,0.471564138743509
"427","GOM","Large","winter",1997,-0.442174057400815
"428","GOM","Large","winter",1998,-0.0559116728828003
"429","GOM","Large","winter",1999,-0.51753996969791
"430","GOM","Large","fall",2000,-0.465099629597294
"431","GOM","Large","fall",2001,0.409997593968194
"432","GOM","Large","fall",2002,0.236613687895546
"433","GOM","Large","fall",2003,0.407577385564355
"434","GOM","Large","fall",2004,0.345810320322989
"435","GOM","Large","fall",2005,0.0397516143143998
"436","GOM","Large","fall",2006,0.11032911711575
"437","GOM","Large","fall",2007,0.381908883272281
"438","GOM","Large","fall",2008,0.274932419354602
"439","GOM","Large","fall",2009,-0.266430327343136
"440","GOM","Large","fall",2010,-0.123231036662319
"441","GOM","Large","fall",2011,0.0710962945519207
"442","GOM","Large","fall",2012,-0.325977219914769
"443","GOM","Large","fall",2013,-0.00669373470415095
"444","GOM","Large","fall",2014,-0.23148606881505
"445","GOM","Large","fall",2015,-0.208971758580847
"446","GOM","Large","fall",2016,-0.124629194147366
"447","GOM","Large","fall",2017,-0.484333692568911
"448","GOM","Large","fall",2018,-0.148099845294326
