NAME,MAP,SENSOR,PROD,ALG,PERIOD,PERIOD_CODE,MATH,UNITS,MTIME_FILE,MTIME_SUBAREA,REGION,SUBAREA,N_SUBAREA,N,MEAN,VAR,SKEW
M_200304-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200304,M,STATS,oC,1568067502,1593555329,NES_EPU_NOESTUARIES,GB,10614,10600,5.808837597010271,1.121520114262291,1.623717704514280
M_200305-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200305,M,STATS,oC,1568068429,1593555329,NES_EPU_NOESTUARIES,MAB,19066,19053,11.22189957502539,2.330574342881632,1.136757449625840
M_200305-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200305,M,STATS,oC,1568068429,1593555329,NES_EPU_NOESTUARIES,GOM,11621,11618,7.574197514329274,0.5295457294696415,-0.3153570447786480
M_200305-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200305,M,STATS,oC,1568068429,1593555329,NES_EPU_NOESTUARIES,SS,5621,5593,6.107462778812697,0.5396834171956123,1.379977318846778
M_200305-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200305,M,STATS,oC,1568068429,1593555329,NES_EPU_NOESTUARIES,GB,10614,10600,9.040443648932115,4.264305720522129,1.242939892998107
M_200306-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200306,M,STATS,oC,1568069337,1593555329,NES_EPU_NOESTUARIES,MAB,19066,19053,16.37797469414044,3.283886211755293,0.6892517457540550
M_200306-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200306,M,STATS,oC,1568069337,1593555329,NES_EPU_NOESTUARIES,GOM,11621,11618,11.39326981534480,1.195869346094251,-0.2427076802555541
M_200306-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200306,M,STATS,oC,1568069337,1593555329,NES_EPU_NOESTUARIES,SS,5621,5593,9.124672243809542,0.5970297029806461,0.4669102661099705
M_200306-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200306,M,STATS,oC,1568069337,1593555329,NES_EPU_NOESTUARIES,GB,10614,10600,12.24137179032811,3.998903534733840,0.8840740463393338
M_200307-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200307,M,STATS,oC,1568070215,1593555329,NES_EPU_NOESTUARIES,MAB,19066,19053,22.20899959694949,1.814511836303211,-0.3612405305138329
M_200307-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200307,M,STATS,oC,1568070215,1593555329,NES_EPU_NOESTUARIES,GOM,11621,11618,16.45813443973073,3.062030781573575,-0.5687450508959540
M_200307-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200307,M,STATS,oC,1568070215,1593555329,NES_EPU_NOESTUARIES,SS,5621,5593,13.41391847096550,2.385812252865956,0.3260805048875782
